Words,Dictionary Form,#
、,21112
…,15796
。,11778
の,9287
て,8435
に,7599
た,7447
は,6062
！,5810
だ,5632
か,4951
？,4855
が,4837
で,4276
と,4075
も,3977
な,3861
し,3680
を,3320
ん,3229
ない,3034
よ,2920
って,2484
から,2362
ね,2274
そう,1524
“,1459
”,1459
お,1307
何,1257
じゃ,1246
いる,1219
けど,1213
てる,1186
こと,1171
です,1146
いい,962
それ,945
クマ,926
私,863
さ,841
事,804
さん,783
れ,727
あ,727
よう,707
い,697
人,679
なん,649
この,637
する,634
お前,616
たら,603
なっ,600
もう,590
菜々子,586
ある,575
ます,574
どう,567
俺,556
先輩,554
あの,549
これ,520
気,513
見,513
いう,508
ちゃん,499
言っ,498
だけ,489
今日,484
だっ,475
その,471
なら,470
上,464
今,455
ー,449
来,448
ら,441
まで,432
鳴,424
だろ,418
僕,417
ば,413
や,410
ねー,409
ここ,406
なく,403
わ,381
自分,379
そんな,374
き,366
くれ,360
やっ,359
雪子,353
無い,338
思っ,337
ねえ,337
なかっ,337
たい,333
たち,328
誰,322
オレ,320
っ,319
また,315
話,312
～,310
ちょっと,303
後,298
みんな,298
こんな,297
あっ,295
なんて,294
あたし,293
まし,290
くん,288
え,285
思う,276
テレビ,275
なる,274
みたい,273
ス,273
時,272
子,265
前,263
出,262
ぜ,259
ませ,258
事件,257
家,256
一緒,251
中,249
せ,247
ちゃっ,243
行っ,242
られ,241
りせ,241
分かっ,240
じゃあ,240
霧,240
>,240
<,238
言う,236
もの,235
直,231
まだ,230
目,227
いつ,226
斗,225
でしょ,223
少し,222
日,222
じゃん,215
千枝,214
へ,212
聞い,208
犯人,208
あー,203
あれ,199
方,196
だろう,195
うん,192
ぞ,192
一人,190
ごめん,188
ま,184
堂島,183
先生,183
あなた,182
完二,182
っス,182
そ,181
顔,181
す,180
より,179
行く,179
一,179
笑っ,179
者,177
力,177
考え,176
ため,176
もん,174
陽介,171
世界,170
れる,169
好き,165
学校,163
よく,163
確か,161
本当,158
くる,157
なさい,157
入れ,157
帰っ,157
父,156
知っ,155
話し,154
こう,154
でき,154
違う,153
町,151
意味,150
同じ,148
言わ,148
しか,148
時間,147
天城,147
感じ,147
そっ,146
部,145
う,144
あり,143
てん,143
とこ,143
すぐ,143
ちゃう,143
ねぇ,143
まあ,142
君,141
ずっと,140
いや,139
なぁ,139
ああ,138
どこ,137
ホント,136
きっと,136
ありがとう,135
関係,135
ただ,134
手,133
警察,133
アンタ,133
明日,132
み,132
ぁ,131
二人,130
ヤツ,129
分かん,129
分から,128
知ら,128
あい,127
たり,127
やる,127
一条,127
でしょう,126
ほら,126
わけ,126
