Words,#
…,12734
に,11476
は,10186
?,9463
だ,8708
が,8549
か,7171
を,6878
な,6809
も,5520
で,5422
ない,4876
と,4514
よ,4329
ん,3766
ね,3168
から,2848
って,2405
そう,1996
じゃ,1852
こと,1814
です,1651
お,1589
けど,1555
いい,1301
ぞ,1295
それ,1240
この,1182
なら,1145
何,1088
たら,1061
ば,1045
ある,1006
さ,865
なん,804
ホ,772
もう,756
だろ,751
その,736
これ,736
私,711
事,698
どう,689
たい,663
気,660
よう,660
ここ,635
わ,620
俺,614
ねえ,610
ねー,607
怪盗,601
今日,592
今,573
い,572
話,557
いう,555
様,546
まで,538
だろう,529
方,525
ら,524
なる,524
～,514
あの,512
くれ,486
だけ,472
行く,467
まだ,452
また,444
やる,441
じゃあ,441
こんな,439
そんな,436
っ,419
ましょう,405
だった,402
オマエ,399
人,392
あ,392
みたい,384
ました,383
ちょっと,381
君,376
オレ,371
お前,369
ませ,365
時間,354
なんて,350
明日,350
前,349
ねぇ,348
ヤツ,342
オ,338
者,336
いる,328
一,326
団,324
中,321
人間,317
ジョーカー,315
れる,309
たち,307
場所,307
しか,280
より,279
手,274
もん,274
思う,269
いや,265
んです,263
どこ,261
1,259
もの,257
情報,253
パレス,251
いつ,251
日,250
貴方,249
言う,246
時,245
や,244
誰,244
力,243
ご,242
まあ,241
来て,239
的,238
あれ,238
自分,237
あり,236
所,235
関係,234
でき,232
へ,232
しよう,232
少し,231
なり,230
さん,230
ああ,229
いた,229
一緒,228
先,226
だし,225
みんな,222
言ってて,222
でしょ,222
います,222
アンタ,219
でしょう,215
なく,214
無い,214
なくて,211
後,210
なってて,210
やってて,209
行ってて,209
ダ,208
見,206
ず,205
金,205
目,205
必要,204
ワガハイ,203
相手,203
すぐ,203
わけ,198
予告,198
あと,197
られ,196
予定,196
悪い,195
よく,194
だぜ,193
シャドウ,193
度,192
そこ,192
それで,192
これで,191
み,189
状,189
我,188
ため,187
コレ,187
今度,187
店,185
はず,184
声,184
できる,183
ホー,183
くれる,182
きっと,182
キミ,181
大丈夫,180
もし,180
なかった,180
敵,179
きた,179
にして,179
月,179
番組,174
おい,173
よし,172
なぁ,171
ダメ,171
改心,170
アタシ,169
僕,168
あー,168
ください,167
部屋,167
なった,166
オイラ,165
あった,165
仲間,164
みる,162
世界,162
内容,162
つ,161
まぁ,160
待ってるてる,160
なさい,158
聞いて,158
見て,155
持ってて,155
られる,154
来た,154
奴,152
本,152
として,152
とこ,152
同じ,151
なんで,151
つもり,150
言葉,149
らしい,149
物,148
2,148
タカラ,148
早く,147
街,147
マジ,146
本当,146
見た,146
円,146
日の番組,145
まま,144
知ら,144
なに,143
ところ,142
父,141
子,141
ちゃん,140
やら,140
学校,140
絶対,139
みよう,139
通り,138
こっち,138
意味,138
どうする,135
考え,135
双葉,135
上,134
ついて,134
他,134
にし,134
ちゃんと,129
しれ,129
渋谷,129
来,128
言わ,128
たく,127
とく,127
準備,126
そろそろ,126
ごめん,126
心,125
だっ,125
くらい,125
アジト,124
良い,123
ま,123
す,122
こそ,122
チャン,122
なんか,120
しろ,119
くる,119
確か,119
裏,119
なきゃ,118
なのか,118
欲しい,118
こう,117
もっと,117
かしら,117
連絡,117
行き,115
ゲーム,114
集合,114
警察,114
ナ,114
ペルソナ,113
とけ,112
オクムラ,111
おく,111
まず,110
どんな,110
色々,110
ないのか,109
二,109
など,108
感じ,108
用,107
なっ,107
以上,106
じゃん,106
とにかく,105
言え,105
行こう,105
ホント,105
カット,104
言い,104
べき,104
枚,104
せる,103
問題,103
大事,103
来る,103
かして,103
とき,102
頼む,102
イ,102
出て,101
され,101
アイツ,101
若い,101
いえ,101
気持ち,101
わかった,100
やっぱ,100
家,100
獅童,100
ページ,100
次,99
ス,99
ちゃ,99
可能,98
あります,98
考えて,98
モルガナ,98
勉強,97
ちゃう,97
さすが,97
いく,97
夜,97
教えて,96
はい,96
室,96
男,96
ニー,96
やっぱり,95
き,95
だけで,95
結果,95
あっ,95
メジエド,95
話し,95
ないし,94
現実,94
ありがとう,94
件,94
とりあえず,94
好き,93
わかる,93
ないの?,93
との関係,93
がする,93
道,93
なあ,92
女,92
絵,92
楽しみ,92
出す,91
フフ,91
ワタシ,91
別,90
ほしい,90
思ってて,90
10,90
カ,90
させて,89
作戦,89
すれ,89
うん,89
アン,89
コイン,89
バカ,88
客,88
さっき,88
興味,88
待ってて,88
事件,88
すぎ,88
顔,88
今回,87
場合,87
にする,87
扉,87
候補,87
大,86
なります,86
言っ,86
ながら,85
待つ,85
できます,84
出,84
行こうぜ,84
調べて,84
っけ,84
カード,84
感想,84
やつ,83
こ,83
性,83
屋,83
誘い,82
ターゲット,82
ネット,82
夢,81
待て,81
しかし,81
あげる,81
攻撃,80
せい,80
ッ,80
されて,80
人気,80
カモシダ,79
鴨志田,79
ぬ,79
外,79
モノ,79
をする,79
状況,79
願い,79
よろしく,79
行動,78
無理,78
まさか,78
一人,78
無,78
訳,78
竜司,78
仕方ない,77
たしか,77
様子,76
来い,76
かけて,76
実,76
仕事,76
テレビ,76
選挙,76
やった,75
心配,75
ほど,75
なー,75
気分,75
付き合ってて,75
ヒマ,75
万,75
5,75
地下,75
違う,74
メメント,74
試験,74
大変,74
名前,74
アナタ,74
姿,73
調子,73
あってて,73
罪,73
ぇ,73
させ,73
みようぜ,73
余裕,73
さっさと,72
分から,72
でる,72
知れ,72
真,72
ノ,72
状態,70
口,70
忘れ,70
出来,70
ソレ,70
やり,69
不,69
潜入,69
メメントス,69
3,69
やれ,68
間,68
たって,68
なのに,68
あなた,68
された,68
やはり,68
変,68
都合,68
助けて,68
分かる,67
斑目,67
ぅ,67
帰ってて,67
ぉ,66
くん,66
ガキ,66
アレ,66
わから,66
ニュース,66
方法,65
面倒,65
会い,65
占い,65
ボス,65
生,64
ええ,64
そっち,64
いよいよ,64
アケチ,64
場,64
終わり,63
回,63
使え,63
警戒,63
身,63
足り,63
ぃ,63
子供,63
コト,63
である,62
マダ,62
もらう,62
なるほど,62
話して,62
結局,62
んじゃ,62
ルート,62
映画,62
奥村,62
命,61
ちゃった,61
おお,61
いけ,61
そ,61
知ってるてる,61
奥,61
相談,61
鍵,61
役,61
なの?,61
まー,61
戦い,60
数,60
つけ,60
悪く,60
ぁ,60
なれ,60
残念,60
入ってて,60
殿,60
んでしょ,60
約束,60
でした,60
行くのか,60
ウ,60
ヒホ,60
ほら,59
どうせ,59
くれた,59
行け,59
コイツ,59
おこう,59
生徒,59
出る,59
どっ,59
質問,59
ネタ,59
フロア,59
をして,58
言った,58
悪,58
祐介,58
簡単,58
コープ,58
おり,58
シドウ,58
やっ,57
やがってて,57
ちまう,57
モナ,57
期待,57
分かった,57
帰る,57
かし,57
皆,57
おっ,57
ハ,57
電話,57
ゾ,57
為,56
わかん,56
やめ,56
思った,56
親,56
全部,56
間違い,56
事故,56
よー,56
下さい,56
被害,56
イイ,55
頭,55
なかなか,55
モン,55
負け,55
彼,55
聞いた,55
やめて,55
協力,55
期限,55
行ける,55
くれて,55
証,55
ただ,54
入る,54
達,54
うち,54
といて,54
急,54
しばらく,54
よかった,54
入れ,54
明智,54
探して,54
あまり,53
みろ,53
銃,53
ハル,53
かぁ,53
もらえる,53
聞く,53
三,53
つー,53
得,53
っぽい,53
危険,53
しようぜ,53
館,53
さて,53
犯罪,53
ナイ,53
本気,52
ラメ,52
最後,52
動き,52
行か,52
嫌,52
会,52
言っててた,52
あんな,52
最近,52
言,52
気力,52
さあ,51
出来ます,51
春,51
いか,51
居,51
主人,51
分,51
入れた,51
気配,51
すぎる,51
どの,51
しっかり,51
ウソ,51
ほう,51
こちら,51
早い,51
話す,51
社長,51
威勢,51
なぜ,50
カネ,50
わたし,50
イカ,50
サマ,50
慎重,50
公園,50
嬉しい,50
コーヒー,50
すげー,50
話題,50
すん,49
やろう,49
言ってるてる,49
有名,49
犯人,49
価値,49
下,49
社員,49
フン,49
おかげ,49
ルブラン,49
会社,49
探す,49
品,49
先生,49
ソノ,49
全て,48
あるのか,48
んで,48
雨,48
かー,48
スイッチ,48
たり,47
ひと,47
クソ,47
いいのか,47
いて,47
カラ,47
助け,47
見つけ,47
局,47
フタバ,47
報告,47
ありがと,47
ねーし,47
噂,47
仕掛け,46
高い,46
う,46
成功,46
なし,46
なけれ,46
戦,46
上手く,46
ずっと,46
確保,46
手伝い,46
見る,46
なさ,46
周り,46
キー,45
当然,45
会話,45
確認,45
こいつ,45
次第,45
廃人,45
すごい,45
よってて,45
無事,45
られて,45
さま,45
タイプ,45
カワカミ,45
倍,45
責任,45
モ,45
向こう,44
全員,44
大人,44
ばかり,44
聞き,44
とする,44
とも,44
目的,44
特別,44
みて,44
居る,44
トコ,44
不安,44
勝手,44
出来る,43
ボタン,43
代わり,43
つけて,43
カモ,43
もちろん,43
必ず,43
体,43
そし,43
時期,43
ぐらい,43
やってるてる,43
ほんと,43
利用,43
以外,43
バー,43
覚悟,42
多い,42
わかってて,42
杏,42
貴様,42
死,42
逆,42
どうした,42
使ってて,42
勝負,42
